"","subj","n"
"1","乾き",4
"2","亂れ",1
"3","凍り",1
"4","呆れ",1
"5","壊れ",3
"6","変わり",19
"7","尽き",8
"8","忘れ",2
"9","惑い",1
"10","成り",2
"11","成り果て",2
"12","朽ち",74
"13","枯れ",59
"14","消え",1
"15","涸れ",2
"16","満ち",1
"17","濁り",1
"18","疲れ",28
"19","絶え",1
"20","腐り",7
"21","荒れ",15
"22","見",21
"23","踊り",1
