"","subj","cnt"
"1","エンドロール",1
"2","オイル",1
"3","弾",2
"4","時間",3
"5","期限",2
"6","油",1
"7","糸",1
"8","襤褸",1
"9","電池",2
"10","電源",1
"11","電話",1
"12","魔法",1
"13","携帯",1
