"","subj","n","human"
"1","おじいちゃん",1,"yes"
"2","パパ",1,"yes"
"3","ママ",1,"yes"
"4","ミュージシャン",1,"yes"
"5","意味",1,"no"
"6","影",1,"no"
"7","家族",1,"yes"
"8","気持ち",1,"no"
"9","私",2,"yes"
"10","時計",1,"no"
"11","自由",1,"no"
"12","身体",1,"yes"
"13","生",1,"yes"
"14","争い",1,"no"
"15","誰か",1,"yes"
"16","両親",1,"yes"
