"","subj","n"
"1","とり憑かれて",2
"2","付けて",1
"3","信じて",1
"4","定めて",1
"5","巣食って",1
"6","忘れて",2
"7","成って",1
"8","成り果てて",1
"9","投げ出して",1
"10","捨てて",1
"11","掛けて",3
"12","死んで",3
"13","残して",1
"14","殺して",2
"15","消えて",2
"16","溶けて",1
"17","焦げて",1
"18","焦げ付いて",2
"19","知って",2
"20","終わって",2
"21","終わらせて仕",1
"22","視えて",2
"23","覚えて",1
"24","触れて",1
"25","逃げられて",1
"26","隠して",1
