"","subj","n"
"1","なり",1
"2","乗り",1
"3","伝え",4
"4","伸ばし",1
"5","信じ",2
"6","割り",4
"7","取り",1
"8","堪え",3
"9","売り",1
"10","待ち",1
"11","抑え",2
"12","抱え",1
"13","押さえ",3
"14","拭い",1
"15","拾い",1
"16","振り",8
"17","捨て",1
"18","描き",1
"19","擦り",19
"20","数え",37
"21","断ち",8
"22","死に",2
"23","焼き",7
"24","耐え",6
"25","背負い",1
"26","言い",2
"27","踏み",1
"28","追い",2
"29","逃げ",1
"30","遣り",2
"31","選び",1
"32","隠し",7
"33","騙し",1
